City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,trairi,-3.2778,-39.2689,25.32,94,62,1.54,BR,1712917019
1,ushuaia,-54.8,-68.3,7.81,76,20,12.35,AR,1712916845
2,grytviken,-54.2811,-36.5092,0.42,82,98,4.7,GS,1712917057
3,uturoa,-16.7333,-151.4333,29.08,76,97,8.97,PF,1712917057
4,bengkulu,-3.8004,102.2655,28.56,80,95,2.4,ID,1712917057
5,olonkinbyen,70.9221,-8.7187,-7.49,87,100,11.57,SJ,1712917057
6,vorgashor,67.5833,63.95,-2.89,97,100,6.03,RU,1712917058
7,arraial do cabo,-22.9661,-42.0278,23.92,83,75,3.6,BR,1712917058
8,remire-montjoly,4.9167,-52.2667,28.02,83,75,5.66,GF,1712917058
9,aasiaat,68.7098,-52.8699,-6.26,95,100,2.68,GL,1712917058
10,bethel,41.3712,-73.414,18.05,89,100,5.14,US,1712917005
11,edinburgh of the seven seas,-37.0676,-12.3116,18.93,92,71,8.45,SH,1712917059
12,puerto ayora,-0.7393,-90.3518,23.64,100,17,0.45,EC,1712917059
13,port elizabeth,-33.918,25.5701,20.61,54,69,3.13,ZA,1712917059
14,waimanalo,21.35,-157.7208,23.95,88,100,2.06,US,1712917060
15,hawaiian paradise park,19.5933,-154.9731,21.69,96,75,1.54,US,1712917060
16,tura,25.5198,90.2201,35.65,15,54,4.12,IN,1712917060
17,yellowknife,62.456,-114.3525,0.23,94,100,5.81,CA,1712917061
18,saudarkrokur,65.7461,-19.6394,-0.02,95,100,5.45,IS,1712917061
19,praia da vitoria,38.7333,-27.0667,16.53,88,75,2.04,PT,1712917061
20,crane,31.3974,-102.3501,17.13,26,75,7.18,US,1712917061
21,albany,42.6001,-73.9662,17.55,80,100,3.58,US,1712916879
22,waitangi,-43.9535,-176.5597,16.57,95,99,4.92,NZ,1712917062
23,tagiura,32.8817,13.3506,20.07,70,100,9.28,LY,1712917062
24,chonchi,-42.6128,-73.8092,4.56,82,0,0.98,CL,1712917049
25,tazovsky,67.4667,78.7,-10.8,92,100,12.49,RU,1712917062
26,wailua homesteads,22.0669,-159.378,23.24,94,100,7.72,US,1712917062
27,medina,24.4686,39.6142,32.24,10,0,2.06,SA,1712917063
28,port mathurin,-19.6833,63.4167,26.87,73,25,4.72,MU,1712917063
29,tolanaro,-25.0319,46.9987,24.37,59,100,6.16,MG,1712917063
30,utrik,11.2278,169.8474,26.46,76,100,9.2,MH,1712917063
31,aitape,-3.1374,142.3475,27.4,85,75,2.56,PG,1712917064
32,rundu,-17.9333,19.7667,29.35,31,100,4.39,NA,1712917064
33,adamstown,-25.066,-130.1015,22.1,52,100,6.36,PN,1712917064
34,west island,-12.1568,96.8225,29.99,70,40,4.12,CC,1712917064
35,jamestown,42.097,-79.2353,11.8,96,100,9.39,US,1712916825
36,qui nhon,13.7667,109.2333,28.12,73,100,2.52,VN,1712917065
37,port lincoln,-34.7333,135.8667,14.16,67,12,4.2,AU,1712917065
38,havre de grace,39.5493,-76.0916,17.86,91,75,4.63,US,1712917065
39,badger,64.8,-147.5333,2.14,62,75,1.54,US,1712917065
40,kapuskasing,49.4169,-82.4331,5.24,96,100,5.86,CA,1712917066
41,bagnacavallo,44.4125,11.9771,22.48,59,0,3.66,IT,1712917066
42,ust-nera,64.5667,143.2,-2.21,90,100,2.79,RU,1712917066
43,nishinoomote,30.7333,131.0,17.55,82,100,7.03,JP,1712917066
44,fort stockton,30.894,-102.8793,16.53,30,96,10.26,US,1712917067
45,cobourg,50.2667,10.9667,18.76,53,71,0.89,DE,1712917067
46,atafu village,-8.5421,-172.5159,30.08,72,90,2.97,TK,1712917067
47,erdemli,36.605,34.3084,20.54,69,6,2.3,TR,1712917067
48,champerico,14.3,-91.9167,28.25,73,11,1.21,GT,1712917067
49,papatowai,-46.5619,169.4708,5.83,89,20,1.19,NZ,1712917068
50,isafjordur,66.0755,-23.124,-1.98,80,75,7.2,IS,1712917068
51,hilo,19.7297,-155.09,23.12,92,75,1.79,US,1712917050
52,mityana,0.4175,32.0228,28.21,54,90,2.3,UG,1712917068
53,stanley,54.868,-1.6985,12.77,83,75,3.09,GB,1712917069
54,gaalkacyo,6.7697,47.4308,36.81,29,9,4.66,SO,1712917069
55,sandnessjoen,66.0217,12.6316,8.06,81,75,10.8,NO,1712917069
56,port-aux-francais,-49.35,70.2167,6.68,94,88,9.32,TF,1712917069
57,port macquarie,-31.4333,152.9167,18.83,82,17,1.84,AU,1712916996
58,blackmans bay,-43.0167,147.3167,15.07,71,93,3.05,AU,1712917070
59,nemuro,43.3236,145.575,3.89,99,100,4.57,JP,1712916857
60,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,93,0,1.34,RU,1712917071
61,talnakh,69.4865,88.3972,-16.55,89,100,5.36,RU,1712917071
62,whitehorse,60.7161,-135.0538,-5.31,88,57,3.63,CA,1712917012
63,margaret river,-33.95,115.0667,18.95,65,45,6.31,AU,1712917072
64,tank,32.2217,70.3793,32.73,18,100,1.66,PK,1712917072
65,kodiak,57.79,-152.4072,3.73,65,100,4.12,US,1712917072
66,tiksi,71.6872,128.8694,-18.99,83,54,9.35,RU,1712917072
67,valentin gomez farias,28.2167,-106.5833,12.74,24,100,1.76,MX,1712917073
68,bredasdorp,-34.5322,20.0403,18.92,47,16,7.15,ZA,1712917073
69,kirensk,57.7853,108.1119,1.65,76,100,3.13,RU,1712917073
70,ancud,-41.8697,-73.8203,7.72,76,0,2.66,CL,1712917073
71,puerto natales,-51.7236,-72.4875,2.01,93,34,1.91,CL,1712917074
72,spring creek,40.7266,-115.5859,8.5,43,56,2.18,US,1712917074
73,tenno,39.9,139.9667,10.84,77,13,3.12,JP,1712917074
74,port de pollenca,39.9075,3.0814,22.47,64,0,4.25,ES,1712917074
75,riosucio,5.4216,-75.7032,15.0,94,99,0.85,CO,1712917074
76,lhuentse,27.6679,91.1839,18.45,60,84,2.67,BT,1712917075
77,miyaly,48.8844,53.7836,20.09,38,80,8.02,KZ,1712917075
78,mongoumba,3.6415,18.5936,37.72,33,53,2.01,CF,1712917075
79,la'ie,21.6477,-157.9253,23.98,89,100,0.89,US,1712917075
80,sechura,-5.5569,-80.8222,22.86,75,48,4.77,PE,1712917076
81,cabo san lucas,22.8909,-109.9124,20.42,57,100,0.45,MX,1712917076
82,castillos,-34.1667,-53.8333,16.62,57,100,3.14,UY,1712917076
83,cam ranh,11.9214,109.1591,28.98,84,0,6.17,VN,1712917076
84,shingu,33.7333,135.9833,13.89,81,100,1.13,JP,1712917076
85,invercargill,-46.4,168.35,7.79,88,100,1.79,NZ,1712916892
86,avarua,-21.2078,-159.775,28.03,89,75,6.17,CK,1712916922
87,ribeira grande,38.5167,-28.7,17.22,88,20,2.24,PT,1712917077
88,llorente,11.4119,125.5458,26.57,80,100,2.68,PH,1712917077
89,pisco,-13.7,-76.2167,22.03,83,0,3.6,PE,1712917078
90,longyearbyen,78.2186,15.6401,-13.09,52,0,4.12,SJ,1712917078
91,tashtyp,52.7939,89.8983,0.71,53,100,6.18,RU,1712917078
92,sitka,57.0531,-135.33,2.94,75,75,2.06,US,1712917078
93,new norfolk,-42.7826,147.0587,15.72,95,100,1.17,AU,1712917078
94,udachny,66.4167,112.4,-15.86,72,100,3.58,RU,1712917079
95,curaca,-8.9903,-39.9094,25.13,78,79,5.06,BR,1712917079
96,labrador city,52.9463,-66.9114,-0.47,99,100,1.85,CA,1712916912
97,nuku'alofa,-21.1333,-175.2,26.12,82,73,3.34,TO,1712917079
98,chichiriviche,10.9333,-68.2772,26.01,87,9,5.13,VE,1712917080
99,koundara,12.4833,-13.3,31.68,35,97,3.59,GN,1712917080
100,alofi,-19.0595,-169.9187,24.94,94,100,2.06,NU,1712916943
101,happy valley-goose bay,53.3168,-60.3315,2.65,90,100,2.08,CA,1712916910
102,qaqortoq,60.7167,-46.0333,-8.6,75,7,2.25,GL,1712917080
103,upington,-28.4478,21.2561,25.4,18,3,2.73,ZA,1712917081
104,cadale,2.7603,46.3222,31.27,66,10,4.64,SO,1712917081
105,tokonou,9.65,-9.7833,30.94,50,44,2.89,GN,1712917081
106,iqaluit,63.7506,-68.5145,-12.98,88,97,5.36,CA,1712917082
107,codrington,-38.2667,141.9667,14.55,61,100,3.13,AU,1712917082
108,hamilton,39.1834,-84.5333,11.0,90,100,8.23,US,1712917081
109,port douglas,-16.4833,145.4667,24.71,85,13,5.8,AU,1712917052
110,belmonte,-15.8631,-38.8828,25.19,88,66,2.46,BR,1712917083
111,meulaboh,4.1363,96.1285,29.65,69,97,2.4,ID,1712917083
112,manghit,42.1156,60.0597,21.26,32,100,8.3,UZ,1712917084
113,newman,37.3138,-121.0208,16.27,88,0,0.89,US,1712917084
114,ghanzi,-21.5667,21.7833,27.71,27,2,4.29,BW,1712917084
115,humaita,-7.5061,-63.0208,22.93,99,100,0.71,BR,1712917084
116,taoudenni,22.6783,-3.9836,30.35,11,0,8.45,ML,1712917084
117,college,64.8569,-147.8028,2.18,61,100,1.54,US,1712917085
118,geraldton,-28.7667,114.6,23.23,56,40,7.2,AU,1712917085
119,enewetak,11.3474,162.3373,27.22,78,96,9.31,MH,1712917086
120,znamenskoye,57.1281,73.8282,0.71,97,100,7.59,RU,1712917086
121,zouerate,22.7187,-12.4521,32.54,10,0,7.78,MR,1712917086
